transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude
2025-03-18 09:00:00,bus,ST27,Station_98,MANHATTAN,omny,Full Fare,2600,133,40.60988152601916,-73.7772138036464
2025-03-18 09:00:00,bus,ST74,Station_46,MANHATTAN,omny,Senior,1857,2,40.56629991192806,-73.92178334450324
2025-03-12 09:00:00,subway,ST33,Station_81,MANHATTAN,metrocard,Senior,2480,49,40.841513968681866,-74.00320914787318
2025-03-6 09:00:00,subway,ST16,Station_68,MANHATTAN,omny,Senior,2593,75,40.60381671327043,-73.92520164573375
2025-03-19 09:00:00,tram,ST55,Station_82,MANHATTAN,metrocard,Student,1383,107,40.81703804651535,-73.73684048248815
2025-03-2 09:00:00,subway,ST43,Station_80,MANHATTAN,metrocard,Student,619,140,40.84168876253634,-73.79076438332102
2025-03-4 09:00:00,tram,ST94,Station_65,MANHATTAN,omny,Senior,4382,83,40.726034124981105,-73.79134923560856
2025-03-22 09:00:00,subway,ST37,Station_74,MANHATTAN,metrocard,Full Fare,3683,155,40.591470711841446,-73.84625452445133
2025-03-24 09:00:00,bus,ST66,Station_55,MANHATTAN,metrocard,Senior,2937,100,40.59832297572246,-73.9388942406151
2025-03-12 09:00:00,subway,ST45,Station_10,MANHATTAN,metrocard,Full Fare,1561,154,40.88193879721538,-73.90212992416349
2025-03-25 09:00:00,subway,ST71,Station_67,MANHATTAN,metrocard,Full Fare,1729,162,40.52308117136636,-73.92225386030339
2025-03-26 09:00:00,bus,ST17,Station_18,MANHATTAN,omny,Full Fare,2103,180,40.64343138460995,-73.83734757051685
2025-03-18 09:00:00,subway,ST58,Station_26,MANHATTAN,omny,Senior,4510,40,40.51557198533027,-74.08559247268343
2025-03-17 09:00:00,bus,ST98,Station_41,MANHATTAN,omny,Full Fare,4846,55,40.73203553386778,-73.8933206459095
2025-03-26 09:00:00,tram,ST19,Station_60,MANHATTAN,omny,Senior,2138,70,40.83833982018398,-73.93962329501078
2025-03-14 09:00:00,tram,ST84,Station_15,MANHATTAN,metrocard,Full Fare,4416,135,40.57445435910134,-73.96737412037312
2025-03-7 09:00:00,bus,ST28,Station_91,MANHATTAN,metrocard,Student,370,164,40.68400095823232,-74.06197878178692
2025-03-27 09:00:00,tram,ST61,Station_36,MANHATTAN,metrocard,Full Fare,3707,23,40.76186027474638,-74.03936197007995
2025-03-25 09:00:00,subway,ST87,Station_53,MANHATTAN,metrocard,Senior,3024,68,40.6567295853134,-73.88131979177729
2025-03-9 09:00:00,subway,ST60,Station_54,MANHATTAN,metrocard,Full Fare,3996,137,40.58022410042919,-74.01856864898146
2025-03-21 09:00:00,subway,ST84,Station_3,MANHATTAN,metrocard,Senior,441,46,40.576447483798404,-73.9759661846629
2025-03-19 09:00:00,tram,ST36,Station_41,MANHATTAN,omny,Full Fare,3514,57,40.62117236225617,-73.96988194639079
2025-03-25 09:00:00,tram,ST51,Station_78,MANHATTAN,omny,Student,4691,122,40.89981756748764,-73.93769953255398
2025-03-16 09:00:00,bus,ST85,Station_54,MANHATTAN,omny,Full Fare,371,58,40.66578788621574,-73.79846811977231
